voltage,current,SOC
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07268,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
4.07332,-0.0,0.95
3.98694,1.376,0.9499862068965517
3.92453,1.43153,0.9499758620689656
3.88464,1.44542,0.9499620689655173
3.86341,1.44787,0.949948275862069
3.84347,1.4495,0.9499344827586207
3.82803,1.4495,0.9499206896551724
3.81837,1.4495,0.949903448275862
3.81001,1.45032,0.9498896551724137
3.80293,1.4495,0.9498758620689656
3.79843,1.45032,0.9498620689655173
3.79457,1.4495,0.949848275862069
3.79135,1.4495,0.9498344827586207
3.78878,1.45032,0.9498206896551724
3.78685,1.4495,0.9498068965517241
3.78492,1.4495,0.9497931034482758
3.78363,1.4495,0.9497793103448275
3.78235,1.45032,0.9497655172413793
3.78106,1.4495,0.9497517241379311
3.77977,1.45032,0.9497379310344828
3.77913,1.4495,0.9497241379310345
3.77849,1.45032,0.9497103448275862
3.77784,1.45032,0.9496965517241379
3.7772,1.45032,0.9496827586206896
3.77591,1.45032,0.9496689655172413
3.77591,1.45032,0.9496551724137932
3.77527,1.4495,0.9496413793103449
3.77463,1.45032,0.9496275862068966
3.77398,1.4495,0.9496137931034483
3.77334,1.45032,0.9496
3.7727,1.45032,0.9495862068965517
3.7727,1.4495,0.9495724137931034
3.77205,1.45032,0.9495586206896551
3.77141,1.4495,0.9495448275862068
3.77077,1.45032,0.9495310344827587
3.77077,1.4495,0.9495172413793104
3.77012,1.45032,0.9495034482758621
3.77012,1.4495,0.9494896551724138
3.76948,1.45032,0.9494758620689655
3.76948,1.45032,0.9494620689655172
3.76884,1.4495,0.9494482758620689
3.76884,1.45032,0.9494344827586207
3.76884,1.45032,0.9494172413793104
3.76819,1.4495,0.9494068965517242
3.76819,1.45032,0.9493896551724138
3.76755,1.4495,0.9493793103448276
3.76755,1.4495,0.9493620689655172
3.76691,1.4495,0.9493482758620689
3.76691,1.45032,0.9493344827586206
